DATE,LNU03034450
01/12/2000,598
01/01/2001,857
01/02/2001,838
01/03/2001,689
01/04/2001,603
01/05/2001,501
01/06/2001,459
01/07/2001,459
01/08/2001,532
01/09/2001,500
01/10/2001,549
01/11/2001,684
01/12/2001,810
01/01/2002,1239
01/02/2002,1086
01/03/2002,1029
01/04/2002,879
01/05/2002,643
01/06/2002,601
01/07/2002,596
01/08/2002,656
01/09/2002,634
01/10/2002,689
01/11/2002,765
01/12/2002,955
01/01/2003,1207
01/02/2003,1191
01/03/2003,997
01/04/2003,782
01/05/2003,723
01/06/2003,722
01/07/2003,688
01/08/2003,664
01/09/2003,690
01/10/2003,660
01/11/2003,696
01/12/2003,817
01/01/2004,1005
01/02/2004,1050
01/03/2004,1025
01/04/2004,857
01/05/2004,679
01/06/2004,680
01/07/2004,615
01/08/2004,578
01/09/2004,641
01/10/2004,667
01/11/2004,713
01/12/2004,883
01/01/2005,1082
01/02/2005,1166
01/03/2005,977
01/04/2005,701
01/05/2005,579
01/06/2005,562
01/07/2005,522
01/08/2005,580
01/09/2005,601
01/10/2005,541
01/11/2005,572
01/12/2005,824
01/01/2006,869
01/02/2006,843
01/03/2006,824
01/04/2006,676
01/05/2006,653
01/06/2006,569
01/07/2006,639
01/08/2006,627
01/09/2006,603
01/10/2006,473
01/11/2006,633
01/12/2006,737
01/01/2007,939
01/02/2007,1110
01/03/2007,936
01/04/2007,858
01/05/2007,687
01/06/2007,610
01/07/2007,627
01/08/2007,569
01/09/2007,602
01/10/2007,650
01/11/2007,658
01/12/2007,982
01/01/2008,1117
01/02/2008,1135
01/03/2008,1185
01/04/2008,1068
01/05/2008,818
01/06/2008,807
01/07/2008,798
01/08/2008,829
01/09/2008,981
01/10/2008,1088
01/11/2008,1245
01/12/2008,1465
01/01/2009,1781
01/02/2009,2066
01/03/2009,2017
01/04/2009,1757
01/05/2009,1792
01/06/2009,1619
01/07/2009,1706
01/08/2009,1578
01/09/2009,1610
01/10/2009,1772
01/11/2009,1813
01/12/2009,2058
01/01/2010,2209
01/02/2010,2460
01/03/2010,2271
01/04/2010,1939
01/05/2010,1782
01/06/2010,1807
01/07/2010,1553
01/08/2010,1515
01/09/2010,1495
01/10/2010,1475
01/11/2010,1630
01/12/2010,1778
01/01/2011,1909
01/02/2011,1910
01/03/2011,1730
01/04/2011,1516
01/05/2011,1390
01/06/2011,1356
01/07/2011,1157
01/08/2011,1162
01/09/2011,1124
01/10/2011,1158
01/11/2011,1120
01/12/2011,1357
01/01/2012,1507
01/02/2012,1419
01/03/2012,1453
01/04/2012,1187
01/05/2012,1172
01/06/2012,1050
01/07/2012,1021
01/08/2012,935
01/09/2012,996
01/10/2012,959
01/11/2012,1008
01/12/2012,1116
01/01/2013,1354
01/02/2013,1313
01/03/2013,1222
01/04/2013,1104
01/05/2013,914
01/06/2013,834
01/07/2013,786
01/08/2013,779
01/09/2013,721
01/10/2013,753
01/11/2013,716
01/12/2013,986
01/01/2014,1063
01/02/2014,1111
01/03/2014,963
01/04/2014,818
01/05/2014,756
01/06/2014,715
01/07/2014,686
01/08/2014,688
01/09/2014,617
01/10/2014,554
01/11/2014,640
01/12/2014,697
01/01/2015,828
01/02/2015,927
01/03/2015,847
01/04/2015,665
01/05/2015,584
01/06/2015,534
01/07/2015,482
01/08/2015,542
01/09/2015,485
01/10/2015,541
01/11/2015,545
01/12/2015,657
01/01/2016,737
01/02/2016,760
01/03/2016,787
01/04/2016,545
01/05/2016,473
01/06/2016,430
01/07/2016,427
01/08/2016,467
01/09/2016,484
01/10/2016,521
01/11/2016,522
01/12/2016,683
01/01/2017,870
01/02/2017,796
01/03/2017,776
01/04/2017,593
01/05/2017,510
01/06/2017,434
01/07/2017,475
01/08/2017,460
01/09/2017,442
01/10/2017,436
01/11/2017,490
01/12/2017,577
01/01/2018,726
01/02/2018,747
01/03/2018,707
01/04/2018,637
01/05/2018,430
01/06/2018,475
01/07/2018,339
01/08/2018,341
01/09/2018,433
01/10/2018,364
01/11/2018,385
01/12/2018,511
01/01/2019,646
01/02/2019,595
01/03/2019,498
01/04/2019,440
01/05/2019,301
01/06/2019,394
01/07/2019,392
01/08/2019,376
01/09/2019,322
01/10/2019,413
01/11/2019,431
01/12/2019,497
01/01/2020,516
01/02/2020,538
