DATE,LNU03034208
01/12/2000,81
01/01/2001,76
01/02/2001,68
01/03/2001,52
01/04/2001,71
01/05/2001,60
01/06/2001,92
01/07/2001,87
01/08/2001,86
01/09/2001,72
01/10/2001,72
01/11/2001,63
01/12/2001,64
01/01/2002,94
01/02/2002,92
01/03/2002,96
01/04/2002,111
01/05/2002,108
01/06/2002,133
01/07/2002,109
01/08/2002,107
01/09/2002,82
01/10/2002,105
01/11/2002,113
01/12/2002,96
01/01/2003,101
01/02/2003,66
01/03/2003,119
01/04/2003,85
01/05/2003,87
01/06/2003,130
01/07/2003,97
01/08/2003,101
01/09/2003,107
01/10/2003,111
01/11/2003,121
01/12/2003,88
01/01/2004,126
01/02/2004,93
01/03/2004,99
01/04/2004,111
01/05/2004,85
01/06/2004,136
01/07/2004,100
01/08/2004,97
01/09/2004,125
01/10/2004,104
01/11/2004,102
01/12/2004,72
01/01/2005,85
01/02/2005,81
01/03/2005,89
01/04/2005,96
01/05/2005,98
01/06/2005,98
01/07/2005,90
01/08/2005,100
01/09/2005,67
01/10/2005,99
01/11/2005,94
01/12/2005,67
01/01/2006,100
01/02/2006,89
01/03/2006,85
01/04/2006,78
01/05/2006,86
01/06/2006,94
01/07/2006,93
01/08/2006,80
01/09/2006,100
01/10/2006,48
01/11/2006,91
01/12/2006,99
01/01/2007,101
01/02/2007,124
01/03/2007,119
01/04/2007,64
01/05/2007,85
01/06/2007,76
01/07/2007,99
01/08/2007,133
01/09/2007,112
01/10/2007,109
01/11/2007,83
01/12/2007,93
01/01/2008,61
01/02/2008,114
01/03/2008,110
01/04/2008,103
01/05/2008,121
01/06/2008,144
01/07/2008,117
01/08/2008,122
01/09/2008,100
01/10/2008,114
01/11/2008,173
01/12/2008,205
01/01/2009,188
01/02/2009,244
01/03/2009,241
01/04/2009,199
01/05/2009,201
01/06/2009,159
01/07/2009,181
01/08/2009,161
01/09/2009,203
01/10/2009,222
01/11/2009,208
01/12/2009,235
01/01/2010,203
01/02/2010,176
01/03/2010,196
01/04/2010,209
01/05/2010,167
01/06/2010,196
01/07/2010,174
01/08/2010,193
01/09/2010,150
01/10/2010,154
01/11/2010,184
01/12/2010,205
01/01/2011,213
01/02/2011,202
01/03/2011,216
01/04/2011,224
01/05/2011,207
01/06/2011,208
01/07/2011,194
01/08/2011,174
01/09/2011,120
01/10/2011,146
01/11/2011,163
01/12/2011,191
01/01/2012,198
01/02/2012,210
01/03/2012,207
01/04/2012,172
01/05/2012,159
01/06/2012,172
01/07/2012,145
01/08/2012,148
01/09/2012,130
01/10/2012,153
01/11/2012,137
01/12/2012,132
01/01/2013,204
01/02/2013,176
01/03/2013,148
01/04/2013,140
01/05/2013,117
01/06/2013,157
01/07/2013,160
01/08/2013,135
01/09/2013,144
01/10/2013,144
01/11/2013,148
01/12/2013,127
01/01/2014,109
01/02/2014,160
01/03/2014,159
01/04/2014,166
01/05/2014,138
01/06/2014,93
01/07/2014,56
01/08/2014,68
01/09/2014,86
01/10/2014,108
01/11/2014,107
01/12/2014,117
01/01/2015,119
01/02/2015,114
01/03/2015,75
01/04/2015,85
01/05/2015,78
01/06/2015,70
01/07/2015,75
01/08/2015,93
01/09/2015,76
01/10/2015,75
01/11/2015,99
01/12/2015,78
01/01/2016,105
01/02/2016,100
01/03/2016,93
01/04/2016,64
01/05/2016,29
01/06/2016,44
01/07/2016,76
01/08/2016,98
01/09/2016,156
01/10/2016,144
01/11/2016,147
01/12/2016,113
01/01/2017,115
01/02/2017,104
01/03/2017,63
01/04/2017,69
01/05/2017,76
01/06/2017,103
01/07/2017,77
01/08/2017,63
01/09/2017,51
01/10/2017,66
01/11/2017,83
01/12/2017,54
01/01/2018,73
01/02/2018,67
01/03/2018,67
01/04/2018,54
01/05/2018,49
01/06/2018,73
01/07/2018,84
01/08/2018,99
01/09/2018,91
01/10/2018,70
01/11/2018,73
01/12/2018,119
01/01/2019,93
01/02/2019,84
01/03/2019,104
01/04/2019,45
01/05/2019,50
01/06/2019,67
01/07/2019,63
01/08/2019,67
01/09/2019,62
01/10/2019,71
01/11/2019,59
01/12/2019,91
01/01/2020,98
01/02/2020,66
