DATE,LNU03034163
01/12/2000,573
01/01/2001,746
01/02/2001,820
01/03/2001,837
01/04/2001,691
01/05/2001,733
01/06/2001,805
01/07/2001,708
01/08/2001,765
01/09/2001,748
01/10/2001,790
01/11/2001,854
01/12/2001,845
01/01/2002,1017
01/02/2002,1068
01/03/2002,1074
01/04/2002,1007
01/05/2002,948
01/06/2002,1051
01/07/2002,933
01/08/2002,953
01/09/2002,960
01/10/2002,1003
01/11/2002,1016
01/12/2002,938
01/01/2003,1091
01/02/2003,1031
01/03/2003,962
01/04/2003,983
01/05/2003,1027
01/06/2003,1162
01/07/2003,1159
01/08/2003,944
01/09/2003,1008
01/10/2003,977
01/11/2003,919
01/12/2003,867
01/01/2004,1196
01/02/2004,1121
01/03/2004,1104
01/04/2004,1032
01/05/2004,946
01/06/2004,1014
01/07/2004,1002
01/08/2004,896
01/09/2004,891
01/10/2004,932
01/11/2004,863
01/12/2004,845
01/01/2005,1120
01/02/2005,1071
01/03/2005,979
01/04/2005,943
01/05/2005,976
01/06/2005,1004
01/07/2005,999
01/08/2005,948
01/09/2005,886
01/10/2005,872
01/11/2005,872
01/12/2005,785
01/01/2006,1034
01/02/2006,986
01/03/2006,888
01/04/2006,836
01/05/2006,885
01/06/2006,943
01/07/2006,934
01/08/2006,839
01/09/2006,868
01/10/2006,853
01/11/2006,885
01/12/2006,784
01/01/2007,987
01/02/2007,911
01/03/2007,743
01/04/2007,756
01/05/2007,676
01/06/2007,856
01/07/2007,953
01/08/2007,876
01/09/2007,860
01/10/2007,770
01/11/2007,753
01/12/2007,874
01/01/2008,992
01/02/2008,889
01/03/2008,880
01/04/2008,782
01/05/2008,884
01/06/2008,1000
01/07/2008,1146
01/08/2008,1170
01/09/2008,1062
01/10/2008,1076
01/11/2008,1149
01/12/2008,1282
01/01/2009,1513
01/02/2009,1547
01/03/2009,1606
01/04/2009,1591
01/05/2009,1569
01/06/2009,1592
01/07/2009,1538
01/08/2009,1517
01/09/2009,1519
01/10/2009,1641
01/11/2009,1588
01/12/2009,1544
01/01/2010,1815
01/02/2010,1776
01/03/2010,1794
01/04/2010,1668
01/05/2010,1709
01/06/2010,1631
01/07/2010,1745
01/08/2010,1638
01/09/2010,1697
01/10/2010,1611
01/11/2010,1579
01/12/2010,1443
01/01/2011,1599
01/02/2011,1556
01/03/2011,1462
01/04/2011,1504
01/05/2011,1612
01/06/2011,1737
01/07/2011,1664
01/08/2011,1570
01/09/2011,1648
01/10/2011,1513
01/11/2011,1471
01/12/2011,1459
01/01/2012,1633
01/02/2012,1556
01/03/2012,1514
01/04/2012,1380
01/05/2012,1442
01/06/2012,1481
01/07/2012,1568
01/08/2012,1501
01/09/2012,1437
01/10/2012,1247
01/11/2012,1253
01/12/2012,1247
01/01/2013,1467
01/02/2013,1453
01/03/2013,1297
01/04/2013,1253
01/05/2013,1222
01/06/2013,1208
01/07/2013,1195
01/08/2013,1274
01/09/2013,1243
01/10/2013,1205
01/11/2013,1247
01/12/2013,1109
01/01/2014,1417
01/02/2014,1396
01/03/2014,1245
01/04/2014,1042
01/05/2014,1143
01/06/2014,998
01/07/2014,1119
01/08/2014,994
01/09/2014,1079
01/10/2014,883
01/11/2014,909
01/12/2014,966
01/01/2015,1137
01/02/2015,1043
01/03/2015,1092
01/04/2015,1013
01/05/2015,1114
01/06/2015,1029
01/07/2015,1042
01/08/2015,905
01/09/2015,935
01/10/2015,893
01/11/2015,903
01/12/2015,878
01/01/2016,1059
01/02/2016,965
01/03/2016,886
01/04/2016,913
01/05/2016,871
01/06/2016,805
01/07/2016,908
01/08/2016,859
01/09/2016,889
01/10/2016,774
01/11/2016,808
01/12/2016,820
01/01/2017,1009
01/02/2017,960
01/03/2017,872
01/04/2017,749
01/05/2017,803
01/06/2017,879
01/07/2017,847
01/08/2017,826
01/09/2017,732
01/10/2017,750
01/11/2017,768
01/12/2017,714
01/01/2018,945
01/02/2018,927
01/03/2018,828
01/04/2018,732
01/05/2018,749
01/06/2018,756
01/07/2018,743
01/08/2018,731
01/09/2018,725
01/10/2018,678
01/11/2018,719
01/12/2018,683
01/01/2019,855
01/02/2019,894
01/03/2019,816
01/04/2019,748
01/05/2019,719
01/06/2019,660
01/07/2019,692
01/08/2019,683
01/09/2019,578
01/10/2019,624
01/11/2019,567
01/12/2019,639
01/01/2020,832
01/02/2020,720
