DATE,Value
01/12/2000,168
01/01/2001,194
01/02/2001,189
01/03/2001,193
01/04/2001,232
01/05/2001,179
01/06/2001,241
01/07/2001,236
01/08/2001,226
01/09/2001,214
01/10/2001,321
01/11/2001,302
01/12/2001,310
01/01/2002,367
01/02/2002,330
01/03/2002,313
01/04/2002,280
01/05/2002,257
01/06/2002,274
01/07/2002,270
01/08/2002,222
01/09/2002,235
01/10/2002,261
01/11/2002,233
01/12/2002,243
01/01/2003,331
01/02/2003,316
01/03/2003,319
01/04/2003,274
01/05/2003,259
01/06/2003,299
01/07/2003,289
01/08/2003,255
01/09/2003,255
01/10/2003,260
01/11/2003,275
01/12/2003,267
01/01/2004,243
01/02/2004,292
01/03/2004,284
01/04/2004,239
01/05/2004,230
01/06/2004,226
01/07/2004,231
01/08/2004,235
01/09/2004,208
01/10/2004,220
01/11/2004,217
01/12/2004,205
01/01/2005,276
01/02/2005,245
01/03/2005,267
01/04/2005,257
01/05/2005,224
01/06/2005,247
01/07/2005,222
01/08/2005,188
01/09/2005,211
01/10/2005,251
01/11/2005,199
01/12/2005,202
01/01/2006,287
01/02/2006,260
01/03/2006,263
01/04/2006,272
01/05/2006,226
01/06/2006,226
01/07/2006,236
01/08/2006,217
01/09/2006,184
01/10/2006,206
01/11/2006,183
01/12/2006,190
01/01/2007,248
01/02/2007,252
01/03/2007,249
01/04/2007,188
01/05/2007,216
01/06/2007,242
01/07/2007,309
01/08/2007,205
01/09/2007,224
01/10/2007,218
01/11/2007,242
01/12/2007,210
01/01/2008,271
01/02/2008,289
01/03/2008,267
01/04/2008,245
01/05/2008,270
01/06/2008,329
01/07/2008,360
01/08/2008,309
01/09/2008,338
01/10/2008,316
01/11/2008,330
01/12/2008,421
01/01/2009,522
01/02/2009,564
01/03/2009,558
01/04/2009,541
01/05/2009,507
01/06/2009,499
01/07/2009,511
01/08/2009,547
01/09/2009,538
01/10/2009,479
01/11/2009,492
01/12/2009,538
01/01/2010,657
01/02/2010,591
01/03/2010,569
01/04/2010,530
01/05/2010,461
01/06/2010,433
01/07/2010,537
01/08/2010,439
01/09/2010,419
01/10/2010,404
01/11/2010,434
01/12/2010,428
01/01/2011,498
01/02/2011,499
01/03/2011,562
01/04/2011,499
01/05/2011,482
01/06/2011,504
01/07/2011,487
01/08/2011,537
01/09/2011,457
01/10/2011,462
01/11/2011,423
01/12/2011,399
01/01/2012,400
01/02/2012,440
01/03/2012,382
01/04/2012,453
01/05/2012,480
01/06/2012,438
01/07/2012,392
01/08/2012,424
01/09/2012,373
01/10/2012,376
01/11/2012,398
01/12/2012,370
01/01/2013,474
01/02/2013,468
01/03/2013,463
01/04/2013,355
01/05/2013,371
01/06/2013,384
01/07/2013,388
01/08/2013,417
01/09/2013,369
01/10/2013,390
01/11/2013,410
01/12/2013,379
01/01/2014,411
01/02/2014,412
01/03/2014,424
01/04/2014,372
01/05/2014,321
01/06/2014,332
01/07/2014,372
01/08/2014,412
01/09/2014,351
01/10/2014,295
01/11/2014,314
01/12/2014,261
01/01/2015,330
01/02/2015,309
01/03/2015,263
01/04/2015,272
01/05/2015,261
01/06/2015,280
01/07/2015,317
01/08/2015,251
01/09/2015,218
01/10/2015,269
01/11/2015,272
01/12/2015,264
01/01/2016,337
01/02/2016,298
01/03/2016,262
01/04/2016,305
01/05/2016,254
01/06/2016,254
01/07/2016,313
01/08/2016,331
01/09/2016,282
01/10/2016,251
01/11/2016,210
01/12/2016,242
01/01/2017,307
01/02/2017,342
01/03/2017,284
01/04/2017,215
01/05/2017,263
01/06/2017,235
01/07/2017,262
01/08/2017,320
01/09/2017,282
01/10/2017,284
01/11/2017,252
01/12/2017,209
01/01/2018,232
01/02/2018,260
01/03/2018,241
01/04/2018,208
01/05/2018,222
01/06/2018,232
01/07/2018,254
01/08/2018,247
01/09/2018,190
01/10/2018,217
01/11/2018,256
01/12/2018,280
01/01/2019,254
01/02/2019,297
01/03/2019,262
01/04/2019,255
01/05/2019,298
01/06/2019,272
01/07/2019,277
01/08/2019,308
01/09/2019,235
01/10/2019,197
01/11/2019,219
01/12/2019,196
01/01/2020,220
01/02/2020,256
