DATE,JTS610000000000000HIL
01/12/2000,55
01/01/2001,59
01/02/2001,61
01/03/2001,90
01/04/2001,64
01/05/2001,75
01/06/2001,49
01/07/2001,68
01/08/2001,89
01/09/2001,75
01/10/2001,73
01/11/2001,70
01/12/2001,54
01/01/2002,73
01/02/2002,63
01/03/2002,63
01/04/2002,62
01/05/2002,62
01/06/2002,86
01/07/2002,65
01/08/2002,52
01/09/2002,59
01/10/2002,54
01/11/2002,48
01/12/2002,60
01/01/2003,62
01/02/2003,63
01/03/2003,60
01/04/2003,73
01/05/2003,68
01/06/2003,70
01/07/2003,66
01/08/2003,71
01/09/2003,68
01/10/2003,99
01/11/2003,77
01/12/2003,68
01/01/2004,64
01/02/2004,70
01/03/2004,71
01/04/2004,60
01/05/2004,58
01/06/2004,60
01/07/2004,66
01/08/2004,63
01/09/2004,60
01/10/2004,118
01/11/2004,65
01/12/2004,74
01/01/2005,68
01/02/2005,49
01/03/2005,81
01/04/2005,72
01/05/2005,74
01/06/2005,70
01/07/2005,72
01/08/2005,60
01/09/2005,88
01/10/2005,76
01/11/2005,87
01/12/2005,89
01/01/2006,79
01/02/2006,83
01/03/2006,73
01/04/2006,82
01/05/2006,90
01/06/2006,53
01/07/2006,75
01/08/2006,76
01/09/2006,93
01/10/2006,77
01/11/2006,68
01/12/2006,72
01/01/2007,80
01/02/2007,83
01/03/2007,88
01/04/2007,83
01/05/2007,83
01/06/2007,82
01/07/2007,72
01/08/2007,77
01/09/2007,77
01/10/2007,77
01/11/2007,86
01/12/2007,78
01/01/2008,86
01/02/2008,77
01/03/2008,83
01/04/2008,90
01/05/2008,82
01/06/2008,91
01/07/2008,90
01/08/2008,90
01/09/2008,63
01/10/2008,76
01/11/2008,77
01/12/2008,71
01/01/2009,74
01/02/2009,81
01/03/2009,75
01/04/2009,70
01/05/2009,79
01/06/2009,78
01/07/2009,77
01/08/2009,79
01/09/2009,61
01/10/2009,93
01/11/2009,65
01/12/2009,75
01/01/2010,64
01/02/2010,66
01/03/2010,97
01/04/2010,66
01/05/2010,69
01/06/2010,77
01/07/2010,82
01/08/2010,73
01/09/2010,75
01/10/2010,96
01/11/2010,98
01/12/2010,78
01/01/2011,92
01/02/2011,86
01/03/2011,71
01/04/2011,96
01/05/2011,62
01/06/2011,82
01/07/2011,80
01/08/2011,86
01/09/2011,94
01/10/2011,80
01/11/2011,92
01/12/2011,92
01/01/2012,87
01/02/2012,94
01/03/2012,80
01/04/2012,77
01/05/2012,85
01/06/2012,70
01/07/2012,82
01/08/2012,77
01/09/2012,90
01/10/2012,79
01/11/2012,62
01/12/2012,82
01/01/2013,77
01/02/2013,64
01/03/2013,90
01/04/2013,87
01/05/2013,89
01/06/2013,60
01/07/2013,94
01/08/2013,106
01/09/2013,72
01/10/2013,85
01/11/2013,89
01/12/2013,84
01/01/2014,101
01/02/2014,82
01/03/2014,96
01/04/2014,86
01/05/2014,77
01/06/2014,93
01/07/2014,79
01/08/2014,79
01/09/2014,114
01/10/2014,85
01/11/2014,75
01/12/2014,84
01/01/2015,78
01/02/2015,92
01/03/2015,86
01/04/2015,76
01/05/2015,81
01/06/2015,93
01/07/2015,94
01/08/2015,97
01/09/2015,82
01/10/2015,105
01/11/2015,115
01/12/2015,101
01/01/2016,73
01/02/2016,104
01/03/2016,93
01/04/2016,100
01/05/2016,103
01/06/2016,101
01/07/2016,85
01/08/2016,101
01/09/2016,98
01/10/2016,87
01/11/2016,80
01/12/2016,83
01/01/2017,69
01/02/2017,92
01/03/2017,98
01/04/2017,95
01/05/2017,99
01/06/2017,75
01/07/2017,92
01/08/2017,118
01/09/2017,100
01/10/2017,93
01/11/2017,108
01/12/2017,101
01/01/2018,96
01/02/2018,98
01/03/2018,92
01/04/2018,97
01/05/2018,98
01/06/2018,94
01/07/2018,103
01/08/2018,96
01/09/2018,87
01/10/2018,95
01/11/2018,98
01/12/2018,107
01/01/2019,109
01/02/2019,94
01/03/2019,91
01/04/2019,99
01/05/2019,99
01/06/2019,89
01/07/2019,103
01/08/2019,89
01/09/2019,96
01/10/2019,103
01/11/2019,100
01/12/2019,94
01/01/2020,112
01/02/2020,92
