DATE,JTS510000000000000JOL
01/12/2000,161
01/01/2001,166
01/02/2001,147
01/03/2001,130
01/04/2001,171
01/05/2001,108
01/06/2001,114
01/07/2001,115
01/08/2001,117
01/09/2001,67
01/10/2001,73
01/11/2001,91
01/12/2001,101
01/01/2002,92
01/02/2002,99
01/03/2002,94
01/04/2002,97
01/05/2002,110
01/06/2002,69
01/07/2002,95
01/08/2002,81
01/09/2002,67
01/10/2002,73
01/11/2002,90
01/12/2002,61
01/01/2003,80
01/02/2003,71
01/03/2003,81
01/04/2003,55
01/05/2003,57
01/06/2003,71
01/07/2003,61
01/08/2003,64
01/09/2003,95
01/10/2003,92
01/11/2003,63
01/12/2003,84
01/01/2004,76
01/02/2004,89
01/03/2004,79
01/04/2004,85
01/05/2004,101
01/06/2004,88
01/07/2004,98
01/08/2004,85
01/09/2004,89
01/10/2004,98
01/11/2004,63
01/12/2004,99
01/01/2005,89
01/02/2005,75
01/03/2005,89
01/04/2005,103
01/05/2005,75
01/06/2005,106
01/07/2005,97
01/08/2005,110
01/09/2005,124
01/10/2005,105
01/11/2005,115
01/12/2005,108
01/01/2006,125
01/02/2006,123
01/03/2006,124
01/04/2006,146
01/05/2006,137
01/06/2006,128
01/07/2006,146
01/08/2006,163
01/09/2006,157
01/10/2006,148
01/11/2006,166
01/12/2006,165
01/01/2007,150
01/02/2007,182
01/03/2007,173
01/04/2007,155
01/05/2007,185
01/06/2007,170
01/07/2007,155
01/08/2007,129
01/09/2007,118
01/10/2007,105
01/11/2007,126
01/12/2007,110
01/01/2008,72
01/02/2008,66
01/03/2008,87
01/04/2008,87
01/05/2008,77
01/06/2008,92
01/07/2008,68
01/08/2008,77
01/09/2008,60
01/10/2008,70
01/11/2008,64
01/12/2008,57
01/01/2009,69
01/02/2009,68
01/03/2009,48
01/04/2009,34
01/05/2009,38
01/06/2009,44
01/07/2009,40
01/08/2009,37
01/09/2009,57
01/10/2009,69
01/11/2009,37
01/12/2009,57
01/01/2010,86
01/02/2010,75
01/03/2010,53
01/04/2010,73
01/05/2010,80
01/06/2010,58
01/07/2010,97
01/08/2010,84
01/09/2010,64
01/10/2010,59
01/11/2010,74
01/12/2010,80
01/01/2011,86
01/02/2011,68
01/03/2011,108
01/04/2011,95
01/05/2011,107
01/06/2011,94
01/07/2011,107
01/08/2011,107
01/09/2011,117
01/10/2011,115
01/11/2011,95
01/12/2011,110
01/01/2012,88
01/02/2012,95
01/03/2012,100
01/04/2012,104
01/05/2012,84
01/06/2012,105
01/07/2012,75
01/08/2012,91
01/09/2012,95
01/10/2012,86
01/11/2012,104
01/12/2012,86
01/01/2013,77
01/02/2013,108
01/03/2013,99
01/04/2013,66
01/05/2013,101
01/06/2013,104
01/07/2013,105
01/08/2013,71
01/09/2013,100
01/10/2013,125
01/11/2013,114
01/12/2013,113
01/01/2014,111
01/02/2014,107
01/03/2014,105
01/04/2014,114
01/05/2014,113
01/06/2014,101
01/07/2014,112
01/08/2014,111
01/09/2014,103
01/10/2014,86
01/11/2014,126
01/12/2014,107
01/01/2015,111
01/02/2015,130
01/03/2015,110
01/04/2015,109
01/05/2015,109
01/06/2015,113
01/07/2015,125
01/08/2015,116
01/09/2015,116
01/10/2015,112
01/11/2015,70
01/12/2015,111
01/01/2016,111
01/02/2016,94
01/03/2016,89
01/04/2016,84
01/05/2016,114
01/06/2016,90
01/07/2016,80
01/08/2016,79
01/09/2016,102
01/10/2016,85
01/11/2016,82
01/12/2016,81
01/01/2017,90
01/02/2017,70
01/03/2017,83
01/04/2017,106
01/05/2017,108
01/06/2017,115
01/07/2017,100
01/08/2017,120
01/09/2017,108
01/10/2017,89
01/11/2017,93
01/12/2017,127
01/01/2018,127
01/02/2018,132
01/03/2018,132
01/04/2018,179
01/05/2018,130
01/06/2018,139
01/07/2018,144
01/08/2018,145
01/09/2018,113
01/10/2018,138
01/11/2018,137
01/12/2018,138
01/01/2019,140
01/02/2019,138
01/03/2019,151
01/04/2019,114
01/05/2019,134
01/06/2019,131
01/07/2019,157
01/08/2019,127
01/09/2019,166
01/10/2019,140
01/11/2019,144
01/12/2019,150
01/01/2020,139
01/02/2020,139
