DATE,JTS530000000000000JOL
01/12/2000,66
01/01/2001,48
01/02/2001,45
01/03/2001,86
01/04/2001,34
01/05/2001,52
01/06/2001,43
01/07/2001,57
01/08/2001,59
01/09/2001,51
01/10/2001,51
01/11/2001,47
01/12/2001,42
01/01/2002,73
01/02/2002,29
01/03/2002,33
01/04/2002,48
01/05/2002,44
01/06/2002,63
01/07/2002,31
01/08/2002,36
01/09/2002,28
01/10/2002,60
01/11/2002,32
01/12/2002,39
01/01/2003,48
01/02/2003,59
01/03/2003,56
01/04/2003,53
01/05/2003,36
01/06/2003,54
01/07/2003,72
01/08/2003,45
01/09/2003,43
01/10/2003,49
01/11/2003,60
01/12/2003,34
01/01/2004,48
01/02/2004,49
01/03/2004,34
01/04/2004,35
01/05/2004,39
01/06/2004,43
01/07/2004,39
01/08/2004,53
01/09/2004,56
01/10/2004,49
01/11/2004,49
01/12/2004,44
01/01/2005,53
01/02/2005,65
01/03/2005,29
01/04/2005,69
01/05/2005,63
01/06/2005,57
01/07/2005,63
01/08/2005,57
01/09/2005,90
01/10/2005,50
01/11/2005,56
01/12/2005,91
01/01/2006,139
01/02/2006,55
01/03/2006,73
01/04/2006,59
01/05/2006,78
01/06/2006,113
01/07/2006,65
01/08/2006,72
01/09/2006,66
01/10/2006,54
01/11/2006,68
01/12/2006,69
01/01/2007,53
01/02/2007,61
01/03/2007,77
01/04/2007,82
01/05/2007,56
01/06/2007,74
01/07/2007,70
01/08/2007,77
01/09/2007,40
01/10/2007,76
01/11/2007,54
01/12/2007,78
01/01/2008,136
01/02/2008,54
01/03/2008,78
01/04/2008,64
01/05/2008,67
01/06/2008,43
01/07/2008,57
01/08/2008,29
01/09/2008,53
01/10/2008,35
01/11/2008,57
01/12/2008,48
01/01/2009,34
01/02/2009,43
01/03/2009,40
01/04/2009,26
01/05/2009,32
01/06/2009,30
01/07/2009,33
01/08/2009,28
01/09/2009,59
01/10/2009,55
01/11/2009,40
01/12/2009,31
01/01/2010,30
01/02/2010,33
01/03/2010,17
01/04/2010,34
01/05/2010,36
01/06/2010,37
01/07/2010,29
01/08/2010,61
01/09/2010,27
01/10/2010,35
01/11/2010,40
01/12/2010,24
01/01/2011,36
01/02/2011,34
01/03/2011,35
01/04/2011,56
01/05/2011,40
01/06/2011,38
01/07/2011,78
01/08/2011,47
01/09/2011,39
01/10/2011,57
01/11/2011,38
01/12/2011,26
01/01/2012,88
01/02/2012,54
01/03/2012,51
01/04/2012,31
01/05/2012,57
01/06/2012,51
01/07/2012,63
01/08/2012,51
01/09/2012,87
01/10/2012,58
01/11/2012,61
01/12/2012,80
01/01/2013,84
01/02/2013,56
01/03/2013,55
01/04/2013,49
01/05/2013,89
01/06/2013,60
01/07/2013,42
01/08/2013,61
01/09/2013,40
01/10/2013,34
01/11/2013,44
01/12/2013,54
01/01/2014,45
01/02/2014,50
01/03/2014,51
01/04/2014,52
01/05/2014,52
01/06/2014,67
01/07/2014,60
01/08/2014,58
01/09/2014,67
01/10/2014,65
01/11/2014,58
01/12/2014,53
01/01/2015,64
01/02/2015,84
01/03/2015,80
01/04/2015,87
01/05/2015,67
01/06/2015,69
01/07/2015,105
01/08/2015,81
01/09/2015,53
01/10/2015,68
01/11/2015,68
01/12/2015,89
01/01/2016,61
01/02/2016,103
01/03/2016,72
01/04/2016,86
01/05/2016,64
01/06/2016,81
01/07/2016,79
01/08/2016,89
01/09/2016,86
01/10/2016,71
01/11/2016,79
01/12/2016,100
01/01/2017,133
01/02/2017,61
01/03/2017,72
01/04/2017,101
01/05/2017,88
01/06/2017,65
01/07/2017,82
01/08/2017,67
01/09/2017,92
01/10/2017,127
01/11/2017,96
01/12/2017,89
01/01/2018,75
01/02/2018,69
01/03/2018,94
01/04/2018,79
01/05/2018,92
01/06/2018,96
01/07/2018,87
01/08/2018,88
01/09/2018,102
01/10/2018,117
01/11/2018,103
01/12/2018,67
01/01/2019,119
01/02/2019,85
01/03/2019,124
01/04/2019,101
01/05/2019,105
01/06/2019,109
01/07/2019,111
01/08/2019,103
01/09/2019,92
01/10/2019,98
01/11/2019,105
01/12/2019,94
01/01/2020,104
01/02/2020,104
