DATE,JTS480099000000000JOL
01/12/2000,111
01/01/2001,171
01/02/2001,156
01/03/2001,124
01/04/2001,134
01/05/2001,110
01/06/2001,123
01/07/2001,144
01/08/2001,127
01/09/2001,123
01/10/2001,117
01/11/2001,107
01/12/2001,97
01/01/2002,100
01/02/2002,84
01/03/2002,104
01/04/2002,116
01/05/2002,108
01/06/2002,88
01/07/2002,80
01/08/2002,91
01/09/2002,70
01/10/2002,94
01/11/2002,96
01/12/2002,92
01/01/2003,94
01/02/2003,104
01/03/2003,91
01/04/2003,73
01/05/2003,86
01/06/2003,135
01/07/2003,90
01/08/2003,91
01/09/2003,92
01/10/2003,85
01/11/2003,97
01/12/2003,102
01/01/2004,83
01/02/2004,79
01/03/2004,123
01/04/2004,76
01/05/2004,84
01/06/2004,85
01/07/2004,108
01/08/2004,80
01/09/2004,75
01/10/2004,81
01/11/2004,80
01/12/2004,97
01/01/2005,103
01/02/2005,115
01/03/2005,96
01/04/2005,108
01/05/2005,105
01/06/2005,154
01/07/2005,128
01/08/2005,112
01/09/2005,133
01/10/2005,121
01/11/2005,119
01/12/2005,104
01/01/2006,93
01/02/2006,103
01/03/2006,114
01/04/2006,143
01/05/2006,150
01/06/2006,138
01/07/2006,125
01/08/2006,127
01/09/2006,140
01/10/2006,158
01/11/2006,127
01/12/2006,142
01/01/2007,171
01/02/2007,149
01/03/2007,182
01/04/2007,163
01/05/2007,127
01/06/2007,120
01/07/2007,138
01/08/2007,154
01/09/2007,160
01/10/2007,135
01/11/2007,165
01/12/2007,144
01/01/2008,190
01/02/2008,135
01/03/2008,115
01/04/2008,101
01/05/2008,117
01/06/2008,114
01/07/2008,116
01/08/2008,108
01/09/2008,99
01/10/2008,103
01/11/2008,82
01/12/2008,74
01/01/2009,73
01/02/2009,45
01/03/2009,71
01/04/2009,62
01/05/2009,73
01/06/2009,70
01/07/2009,45
01/08/2009,65
01/09/2009,54
01/10/2009,50
01/11/2009,58
01/12/2009,37
01/01/2010,53
01/02/2010,57
01/03/2010,60
01/04/2010,68
01/05/2010,58
01/06/2010,78
01/07/2010,72
01/08/2010,75
01/09/2010,92
01/10/2010,91
01/11/2010,67
01/12/2010,112
01/01/2011,86
01/02/2011,108
01/03/2011,109
01/04/2011,116
01/05/2011,117
01/06/2011,93
01/07/2011,118
01/08/2011,99
01/09/2011,100
01/10/2011,107
01/11/2011,117
01/12/2011,121
01/01/2012,117
01/02/2012,128
01/03/2012,126
01/04/2012,107
01/05/2012,110
01/06/2012,106
01/07/2012,103
01/08/2012,118
01/09/2012,125
01/10/2012,89
01/11/2012,84
01/12/2012,156
01/01/2013,136
01/02/2013,134
01/03/2013,108
01/04/2013,134
01/05/2013,128
01/06/2013,149
01/07/2013,113
01/08/2013,146
01/09/2013,140
01/10/2013,143
01/11/2013,139
01/12/2013,136
01/01/2014,161
01/02/2014,117
01/03/2014,145
01/04/2014,152
01/05/2014,155
01/06/2014,160
01/07/2014,181
01/08/2014,186
01/09/2014,191
01/10/2014,198
01/11/2014,203
01/12/2014,205
01/01/2015,205
01/02/2015,210
01/03/2015,233
01/04/2015,240
01/05/2015,299
01/06/2015,235
01/07/2015,249
01/08/2015,210
01/09/2015,203
01/10/2015,244
01/11/2015,306
01/12/2015,250
01/01/2016,156
01/02/2016,161
01/03/2016,166
01/04/2016,187
01/05/2016,194
01/06/2016,195
01/07/2016,218
01/08/2016,204
01/09/2016,163
01/10/2016,164
01/11/2016,159
01/12/2016,198
01/01/2017,172
01/02/2017,215
01/03/2017,195
01/04/2017,191
01/05/2017,174
01/06/2017,218
01/07/2017,249
01/08/2017,263
01/09/2017,268
01/10/2017,251
01/11/2017,167
01/12/2017,251
01/01/2018,288
01/02/2018,288
01/03/2018,313
01/04/2018,299
01/05/2018,305
01/06/2018,296
01/07/2018,278
01/08/2018,252
01/09/2018,343
01/10/2018,253
01/11/2018,323
01/12/2018,340
01/01/2019,347
01/02/2019,265
01/03/2019,337
01/04/2019,340
01/05/2019,332
01/06/2019,335
01/07/2019,277
01/08/2019,314
01/09/2019,343
01/10/2019,337
01/11/2019,335
01/12/2019,301
01/01/2020,301
01/02/2020,321
