DATE,JTS420000000000000JOL
01/12/2000,172
01/01/2001,251
01/02/2001,220
01/03/2001,132
01/04/2001,211
01/05/2001,124
01/06/2001,129
01/07/2001,125
01/08/2001,106
01/09/2001,99
01/10/2001,114
01/11/2001,103
01/12/2001,89
01/01/2002,116
01/02/2002,107
01/03/2002,152
01/04/2002,115
01/05/2002,98
01/06/2002,114
01/07/2002,96
01/08/2002,109
01/09/2002,102
01/10/2002,111
01/11/2002,100
01/12/2002,90
01/01/2003,96
01/02/2003,98
01/03/2003,94
01/04/2003,85
01/05/2003,94
01/06/2003,84
01/07/2003,85
01/08/2003,112
01/09/2003,92
01/10/2003,98
01/11/2003,113
01/12/2003,121
01/01/2004,117
01/02/2004,96
01/03/2004,106
01/04/2004,123
01/05/2004,131
01/06/2004,140
01/07/2004,159
01/08/2004,124
01/09/2004,157
01/10/2004,122
01/11/2004,135
01/12/2004,150
01/01/2005,101
01/02/2005,165
01/03/2005,135
01/04/2005,138
01/05/2005,150
01/06/2005,138
01/07/2005,142
01/08/2005,137
01/09/2005,136
01/10/2005,178
01/11/2005,159
01/12/2005,133
01/01/2006,159
01/02/2006,170
01/03/2006,221
01/04/2006,171
01/05/2006,164
01/06/2006,148
01/07/2006,157
01/08/2006,159
01/09/2006,194
01/10/2006,169
01/11/2006,177
01/12/2006,177
01/01/2007,225
01/02/2007,137
01/03/2007,204
01/04/2007,215
01/05/2007,171
01/06/2007,189
01/07/2007,178
01/08/2007,191
01/09/2007,165
01/10/2007,181
01/11/2007,132
01/12/2007,166
01/01/2008,148
01/02/2008,140
01/03/2008,122
01/04/2008,122
01/05/2008,139
01/06/2008,116
01/07/2008,116
01/08/2008,109
01/09/2008,98
01/10/2008,82
01/11/2008,84
01/12/2008,75
01/01/2009,59
01/02/2009,87
01/03/2009,76
01/04/2009,58
01/05/2009,68
01/06/2009,81
01/07/2009,60
01/08/2009,76
01/09/2009,60
01/10/2009,70
01/11/2009,67
01/12/2009,81
01/01/2010,69
01/02/2010,68
01/03/2010,93
01/04/2010,84
01/05/2010,106
01/06/2010,81
01/07/2010,84
01/08/2010,87
01/09/2010,85
01/10/2010,84
01/11/2010,99
01/12/2010,89
01/01/2011,121
01/02/2011,135
01/03/2011,109
01/04/2011,105
01/05/2011,91
01/06/2011,124
01/07/2011,123
01/08/2011,71
01/09/2011,139
01/10/2011,163
01/11/2011,130
01/12/2011,124
01/01/2012,146
01/02/2012,129
01/03/2012,122
01/04/2012,144
01/05/2012,142
01/06/2012,150
01/07/2012,151
01/08/2012,143
01/09/2012,153
01/10/2012,153
01/11/2012,130
01/12/2012,139
01/01/2013,136
01/02/2013,112
01/03/2013,154
01/04/2013,129
01/05/2013,131
01/06/2013,111
01/07/2013,126
01/08/2013,136
01/09/2013,139
01/10/2013,106
01/11/2013,153
01/12/2013,164
01/01/2014,127
01/02/2014,130
01/03/2014,132
01/04/2014,150
01/05/2014,157
01/06/2014,159
01/07/2014,154
01/08/2014,155
01/09/2014,141
01/10/2014,151
01/11/2014,169
01/12/2014,162
01/01/2015,156
01/02/2015,170
01/03/2015,148
01/04/2015,158
01/05/2015,163
01/06/2015,152
01/07/2015,185
01/08/2015,163
01/09/2015,170
01/10/2015,181
01/11/2015,140
01/12/2015,158
01/01/2016,190
01/02/2016,208
01/03/2016,191
01/04/2016,237
01/05/2016,164
01/06/2016,170
01/07/2016,149
01/08/2016,161
01/09/2016,165
01/10/2016,187
01/11/2016,195
01/12/2016,205
01/01/2017,176
01/02/2017,181
01/03/2017,210
01/04/2017,207
01/05/2017,194
01/06/2017,223
01/07/2017,205
01/08/2017,202
01/09/2017,196
01/10/2017,146
01/11/2017,176
01/12/2017,226
01/01/2018,208
01/02/2018,196
01/03/2018,189
01/04/2018,190
01/05/2018,212
01/06/2018,216
01/07/2018,227
01/08/2018,234
01/09/2018,233
01/10/2018,212
01/11/2018,217
01/12/2018,181
01/01/2019,281
01/02/2019,218
01/03/2019,218
01/04/2019,267
01/05/2019,211
01/06/2019,201
01/07/2019,162
01/08/2019,181
01/09/2019,187
01/10/2019,259
01/11/2019,174
01/12/2019,183
01/01/2020,183
01/02/2020,181
