DATE,UEMPLT5
01/12/2000,2477
01/01/2001,2648
01/02/2001,2851
01/03/2001,2681
01/04/2001,2972
01/05/2001,2701
01/06/2001,2808
01/07/2001,2642
01/08/2001,2966
01/09/2001,2837
01/10/2001,3111
01/11/2001,3090
01/12/2001,3037
01/01/2002,3044
01/02/2002,2984
01/03/2002,3074
01/04/2002,2932
01/05/2002,2843
01/06/2002,2711
01/07/2002,2891
01/08/2002,2927
01/09/2002,2772
01/10/2002,2765
01/11/2002,2950
01/12/2002,2838
01/01/2003,2856
01/02/2003,2798
01/03/2003,2831
01/04/2003,2794
01/05/2003,2988
01/06/2003,2906
01/07/2003,2720
01/08/2003,2801
01/09/2003,2704
01/10/2003,2710
01/11/2003,2656
01/12/2003,2554
01/01/2004,2685
01/02/2004,2425
01/03/2004,2637
01/04/2004,2780
01/05/2004,2723
01/06/2004,2677
01/07/2004,2820
01/08/2004,2660
01/09/2004,2758
01/10/2004,2732
01/11/2004,2638
01/12/2004,2768
01/01/2005,2635
01/02/2005,2749
01/03/2005,2483
01/04/2005,2688
01/05/2005,2754
01/06/2005,2659
01/07/2005,2568
01/08/2005,2570
01/09/2005,2763
01/10/2005,2719
01/11/2005,2823
01/12/2005,2588
01/01/2006,2527
01/02/2006,2577
01/03/2006,2659
01/04/2006,2665
01/05/2006,2545
01/06/2006,2705
01/07/2006,2721
01/08/2006,2603
01/09/2006,2608
01/10/2006,2616
01/11/2006,2511
01/12/2006,2596
01/01/2007,2561
01/02/2007,2574
01/03/2007,2307
01/04/2007,2456
01/05/2007,2464
01/06/2007,2551
01/07/2007,2502
01/08/2007,2614
01/09/2007,2557
01/10/2007,2545
01/11/2007,2645
01/12/2007,2718
01/01/2008,2554
01/02/2008,2653
01/03/2008,2823
01/04/2008,2493
01/05/2008,3278
01/06/2008,2753
01/07/2008,2854
01/08/2008,3256
01/09/2008,2848
01/10/2008,3170
01/11/2008,3335
01/12/2008,3255
01/01/2009,3524
01/02/2009,3450
01/03/2009,3465
01/04/2009,3338
01/05/2009,3246
01/06/2009,3114
01/07/2009,3137
01/08/2009,2940
01/09/2009,2841
01/10/2009,3223
01/11/2009,2816
01/12/2009,2879
01/01/2010,2921
01/02/2010,2807
01/03/2010,2769
01/04/2010,2725
01/05/2010,2773
01/06/2010,2683
01/07/2010,2806
01/08/2010,2671
01/09/2010,2819
01/10/2010,2655
01/11/2010,2912
01/12/2010,2693
01/01/2011,2686
01/02/2011,2469
01/03/2011,2535
01/04/2011,2787
01/05/2011,2668
01/06/2011,2933
01/07/2011,2632
01/08/2011,2650
01/09/2011,2754
01/10/2011,2668
01/11/2011,2556
01/12/2011,2678
01/01/2012,2474
01/02/2012,2610
01/03/2012,2708
01/04/2012,2624
01/05/2012,2550
01/06/2012,2747
01/07/2012,2662
01/08/2012,2784
01/09/2012,2538
01/10/2012,2635
01/11/2012,2620
01/12/2012,2756
01/01/2013,2780
01/02/2013,2713
01/03/2013,2462
01/04/2013,2487
01/05/2013,2674
01/06/2013,2680
01/07/2013,2493
01/08/2013,2475
01/09/2013,2604
01/10/2013,2823
01/11/2013,2409
01/12/2013,2328
01/01/2014,2473
01/02/2014,2376
01/03/2014,2433
01/04/2014,2424
01/05/2014,2586
01/06/2014,2417
01/07/2014,2601
01/08/2014,2620
01/09/2014,2365
01/10/2014,2494
01/11/2014,2474
01/12/2014,2370
01/01/2015,2393
01/02/2015,2392
01/03/2015,2444
01/04/2015,2716
01/05/2015,2471
01/06/2015,2309
01/07/2015,2574
01/08/2015,2073
01/09/2015,2364
01/10/2015,2372
01/11/2015,2382
01/12/2015,2399
01/01/2016,2166
01/02/2016,2235
01/03/2016,2419
01/04/2016,2594
01/05/2016,2264
01/06/2016,2396
01/07/2016,2203
01/08/2016,2285
01/09/2016,2600
01/10/2016,2434
01/11/2016,2404
01/12/2016,2354
01/01/2017,2420
01/02/2017,2493
01/03/2017,2321
01/04/2017,2375
01/05/2017,2125
01/06/2017,2267
01/07/2017,2096
01/08/2017,2188
01/09/2017,2270
01/10/2017,2167
01/11/2017,2268
01/12/2017,2252
01/01/2018,2257
01/02/2018,2465
01/03/2018,2305
01/04/2018,2191
01/05/2018,1976
01/06/2018,2217
01/07/2018,1989
01/08/2018,2189
01/09/2018,2082
01/10/2018,2069
01/11/2018,2147
01/12/2018,2154
01/01/2019,2358
01/02/2019,2236
01/03/2019,2171
01/04/2019,1986
01/05/2019,2117
01/06/2019,1846
01/07/2019,2139
01/08/2019,2235
01/09/2019,1857
01/10/2019,1954
01/11/2019,2037
01/12/2019,2098
01/01/2020,2071
01/02/2020,2082
